genre,decade,gender,word,count
acad,1820,male,blokes,0
acad,1820,male,himself,847
acad,1820,male,masculine,3
acad,1820,male,man,1569
acad,1820,male,guys,0
acad,1820,male,men,1706
acad,1820,male,prince,70
acad,1820,male,mr,1043
acad,1820,male,males,5
acad,1820,male,male,11
acad,1820,male,fella,1
acad,1820,male,lads,1
acad,1820,male,gent,2
acad,1820,male,boys,27
acad,1820,male,lad,0
acad,1820,male,gents,1
acad,1820,male,kings,63
acad,1820,male,he,8437
acad,1820,male,boy,43
acad,1820,male,gentleman,45
acad,1820,male,him,3317
acad,1820,male,fellas,0
acad,1820,male,mister,0
acad,1820,male,guy,0
acad,1820,male,sir,248
acad,1820,male,manly,24
acad,1820,male,bloke,0
acad,1820,male,masculinity,0
acad,1820,male,gentlemen,53
acad,1820,male,his,9368
acad,1820,male,princes,32
acad,1820,male,sirs,3
acad,1820,male,king,410
acad,1820,female,gals,1
acad,1820,female,madam,8
acad,1820,female,ms,11
acad,1820,female,hers,11
acad,1820,female,maiden,8
acad,1820,female,herself,88
acad,1820,female,females,24
acad,1820,female,she,1349
acad,1820,female,dames,3
acad,1820,female,princesses,1
acad,1820,female,woman,103
acad,1820,female,gentlewomen,0
acad,1820,female,girls,17
acad,1820,female,missus,0
acad,1820,female,femininity,0
acad,1820,female,dame,4
acad,1820,female,gal,3
acad,1820,female,queen,118
acad,1820,female,queens,3
acad,1820,female,miss,100
acad,1820,female,lady,120
acad,1820,female,female,80
acad,1820,female,bride,3
acad,1820,female,brides,1
acad,1820,female,lass,0
acad,1820,female,girl,29
acad,1820,female,mrs,299
acad,1820,female,gentlewoman,0
acad,1820,female,lassie,0
acad,1820,female,feminine,2
acad,1820,female,women,155
acad,1820,female,ladies,34
acad,1820,female,maidens,2
acad,1820,female,her,2184
acad,1820,female,princess,12
acad,1830,male,blokes,0
acad,1830,male,himself,1706
acad,1830,male,masculine,5
acad,1830,male,man,3115
acad,1830,male,guys,0
acad,1830,male,men,2748
acad,1830,male,prince,184
acad,1830,male,mr,3044
acad,1830,male,males,52
acad,1830,male,male,90
acad,1830,male,fella,0
acad,1830,male,lads,12
acad,1830,male,gent,1
acad,1830,male,boys,343
acad,1830,male,lad,11
acad,1830,male,gents,0
acad,1830,male,kings,85
acad,1830,male,he,16456
acad,1830,male,boy,193
acad,1830,male,gentleman,340
acad,1830,male,him,6118
acad,1830,male,fellas,0
acad,1830,male,mister,0
acad,1830,male,guy,1
acad,1830,male,sir,433
acad,1830,male,manly,31
acad,1830,male,bloke,0
acad,1830,male,masculinity,0
acad,1830,male,gentlemen,309
acad,1830,male,his,16404
acad,1830,male,princes,68
acad,1830,male,sirs,3
acad,1830,male,king,799
acad,1830,female,gals,1
acad,1830,female,madam,32
acad,1830,female,ms,12
acad,1830,female,hers,18
acad,1830,female,maiden,9
acad,1830,female,herself,190
acad,1830,female,females,152
acad,1830,female,she,2321
acad,1830,female,dames,9
acad,1830,female,princesses,4
acad,1830,female,woman,338
acad,1830,female,gentlewomen,0
acad,1830,female,girls,105
acad,1830,female,missus,0
acad,1830,female,femininity,0
acad,1830,female,dame,9
acad,1830,female,gal,9
acad,1830,female,queen,94
acad,1830,female,queens,2
acad,1830,female,miss,120
acad,1830,female,lady,406
acad,1830,female,female,167
acad,1830,female,bride,13
acad,1830,female,brides,1
acad,1830,female,lass,3
acad,1830,female,girl,116
acad,1830,female,mrs,157
acad,1830,female,gentlewoman,6
acad,1830,female,lassie,0
acad,1830,female,feminine,10
acad,1830,female,women,402
acad,1830,female,ladies,224
acad,1830,female,maidens,4
acad,1830,female,her,3431
acad,1830,female,princess,18
acad,1840,male,blokes,0
acad,1840,male,himself,2316
acad,1840,male,masculine,21
acad,1840,male,man,4711
acad,1840,male,guys,0
acad,1840,male,men,3482
acad,1840,male,prince,348
acad,1840,male,mr,3185
acad,1840,male,males,20
acad,1840,male,male,90
acad,1840,male,fella,0
acad,1840,male,lads,14
acad,1840,male,gent,3
acad,1840,male,boys,164
acad,1840,male,lad,36
acad,1840,male,gents,0
acad,1840,male,kings,109
acad,1840,male,he,24108
acad,1840,male,boy,321
acad,1840,male,gentleman,323
acad,1840,male,him,8022
acad,1840,male,fellas,0
acad,1840,male,mister,3
acad,1840,male,guy,13
acad,1840,male,sir,508
acad,1840,male,manly,46
acad,1840,male,bloke,0
acad,1840,male,masculinity,0
acad,1840,male,gentlemen,248
acad,1840,male,his,26571
acad,1840,male,princes,141
acad,1840,male,sirs,1
acad,1840,male,king,1853
acad,1840,female,gals,1
acad,1840,female,madam,30
acad,1840,female,ms,37
acad,1840,female,hers,36
acad,1840,female,maiden,43
acad,1840,female,herself,339
acad,1840,female,females,92
acad,1840,female,she,3318
acad,1840,female,dames,2
acad,1840,female,princesses,12
acad,1840,female,woman,742
acad,1840,female,gentlewomen,1
acad,1840,female,girls,70
acad,1840,female,missus,0
acad,1840,female,femininity,0
acad,1840,female,dame,11
acad,1840,female,gal,3
acad,1840,female,queen,442
acad,1840,female,queens,12
acad,1840,female,miss,92
acad,1840,female,lady,367
acad,1840,female,female,270
acad,1840,female,bride,63
acad,1840,female,brides,2
acad,1840,female,lass,0
acad,1840,female,girl,161
acad,1840,female,mrs,235
acad,1840,female,gentlewoman,1
acad,1840,female,lassie,0
acad,1840,female,feminine,8
acad,1840,female,women,559
acad,1840,female,ladies,189
acad,1840,female,maidens,11
acad,1840,female,her,5582
acad,1840,female,princess,48
acad,1850,male,blokes,0
acad,1850,male,himself,2010
acad,1850,male,masculine,7
acad,1850,male,man,3485
acad,1850,male,guys,0
acad,1850,male,men,2977
acad,1850,male,prince,263
acad,1850,male,mr,2207
acad,1850,male,males,34
acad,1850,male,male,77
acad,1850,male,fella,0
acad,1850,male,lads,12
acad,1850,male,gent,3
acad,1850,male,boys,165
acad,1850,male,lad,52
acad,1850,male,gents,0
acad,1850,male,kings,188
acad,1850,male,he,19975
acad,1850,male,boy,418
acad,1850,male,gentleman,305
acad,1850,male,him,6186
acad,1850,male,fellas,0
acad,1850,male,mister,3
acad,1850,male,guy,5
acad,1850,male,sir,660
acad,1850,male,manly,54
acad,1850,male,bloke,0
acad,1850,male,masculinity,0
acad,1850,male,gentlemen,403
acad,1850,male,his,19781
acad,1850,male,princes,87
acad,1850,male,sirs,1
acad,1850,male,king,1458
acad,1850,female,gals,1
acad,1850,female,madam,25
acad,1850,female,ms,16
acad,1850,female,hers,24
acad,1850,female,maiden,39
acad,1850,female,herself,196
acad,1850,female,females,88
acad,1850,female,she,2591
acad,1850,female,dames,5
acad,1850,female,princesses,4
acad,1850,female,woman,466
acad,1850,female,gentlewomen,1
acad,1850,female,girls,78
acad,1850,female,missus,5
acad,1850,female,femininity,1
acad,1850,female,dame,29
acad,1850,female,gal,5
acad,1850,female,queen,746
acad,1850,female,queens,177
acad,1850,female,miss,190
acad,1850,female,lady,588
acad,1850,female,female,179
acad,1850,female,bride,31
acad,1850,female,brides,0
acad,1850,female,lass,3
acad,1850,female,girl,142
acad,1850,female,mrs,382
acad,1850,female,gentlewoman,3
acad,1850,female,lassie,0
acad,1850,female,feminine,10
acad,1850,female,women,340
acad,1850,female,ladies,224
acad,1850,female,maidens,11
acad,1850,female,her,4263
acad,1850,female,princess,57
acad,1860,male,blokes,0
acad,1860,male,himself,1902
acad,1860,male,masculine,10
acad,1860,male,man,3146
acad,1860,male,guys,2
acad,1860,male,men,3050
acad,1860,male,prince,487
acad,1860,male,mr,2962
acad,1860,male,males,47
acad,1860,male,male,97
acad,1860,male,fella,0
acad,1860,male,lads,16
acad,1860,male,gent,1
acad,1860,male,boys,353
acad,1860,male,lad,30
acad,1860,male,gents,0
acad,1860,male,kings,309
acad,1860,male,he,18594
acad,1860,male,boy,182
acad,1860,male,gentleman,316
acad,1860,male,him,6771
acad,1860,male,fellas,0
acad,1860,male,mister,0
acad,1860,male,guy,8
acad,1860,male,sir,869
acad,1860,male,manly,55
acad,1860,male,bloke,0
acad,1860,male,masculinity,0
acad,1860,male,gentlemen,294
acad,1860,male,his,20683
acad,1860,male,princes,154
acad,1860,male,sirs,0
acad,1860,male,king,1181
acad,1860,female,gals,1
acad,1860,female,madam,17
acad,1860,female,ms,122
acad,1860,female,hers,11
acad,1860,female,maiden,17
acad,1860,female,herself,225
acad,1860,female,females,61
acad,1860,female,she,2688
acad,1860,female,dames,4
acad,1860,female,princesses,1
acad,1860,female,woman,407
acad,1860,female,gentlewomen,0
acad,1860,female,girls,62
acad,1860,female,missus,19
acad,1860,female,femininity,0
acad,1860,female,dame,5
acad,1860,female,gal,9
acad,1860,female,queen,250
acad,1860,female,queens,14
acad,1860,female,miss,126
acad,1860,female,lady,266
acad,1860,female,female,122
acad,1860,female,bride,26
acad,1860,female,brides,2
acad,1860,female,lass,6
acad,1860,female,girl,65
acad,1860,female,mrs,255
acad,1860,female,gentlewoman,2
acad,1860,female,lassie,0
acad,1860,female,feminine,12
acad,1860,female,women,371
acad,1860,female,ladies,128
acad,1860,female,maidens,15
acad,1860,female,her,4295
acad,1860,female,princess,64
acad,1870,male,blokes,0
acad,1870,male,himself,1625
acad,1870,male,masculine,25
acad,1870,male,man,4034
acad,1870,male,guys,2
acad,1870,male,men,3725
acad,1870,male,prince,206
acad,1870,male,mr,998
acad,1870,male,males,31
acad,1870,male,male,103
acad,1870,male,fella,0
acad,1870,male,lads,6
acad,1870,male,gent,3
acad,1870,male,boys,254
acad,1870,male,lad,33
acad,1870,male,gents,0
acad,1870,male,kings,197
acad,1870,male,he,17420
acad,1870,male,boy,447
acad,1870,male,gentleman,133
acad,1870,male,him,6468
acad,1870,male,fellas,0
acad,1870,male,mister,7
acad,1870,male,guy,19
acad,1870,male,sir,321
acad,1870,male,manly,48
acad,1870,male,bloke,0
acad,1870,male,masculinity,1
acad,1870,male,gentlemen,131
acad,1870,male,his,17954
acad,1870,male,princes,76
acad,1870,male,sirs,1
acad,1870,male,king,1214
acad,1870,female,gals,2
acad,1870,female,madam,55
acad,1870,female,ms,4
acad,1870,female,hers,28
acad,1870,female,maiden,60
acad,1870,female,herself,228
acad,1870,female,females,23
acad,1870,female,she,3027
acad,1870,female,dames,2
acad,1870,female,princesses,7
acad,1870,female,woman,734
acad,1870,female,gentlewomen,1
acad,1870,female,girls,142
acad,1870,female,missus,0
acad,1870,female,femininity,0
acad,1870,female,dame,17
acad,1870,female,gal,3
acad,1870,female,queen,223
acad,1870,female,queens,21
acad,1870,female,miss,240
acad,1870,female,lady,241
acad,1870,female,female,133
acad,1870,female,bride,45
acad,1870,female,brides,2
acad,1870,female,lass,1
acad,1870,female,girl,248
acad,1870,female,mrs,150
acad,1870,female,gentlewoman,1
acad,1870,female,lassie,0
acad,1870,female,feminine,21
acad,1870,female,women,733
acad,1870,female,ladies,159
acad,1870,female,maidens,37
acad,1870,female,her,4716
acad,1870,female,princess,66
acad,1880,male,blokes,0
acad,1880,male,himself,1854
acad,1880,male,masculine,17
acad,1880,male,man,4419
acad,1880,male,guys,1
acad,1880,male,men,3285
acad,1880,male,prince,508
acad,1880,male,mr,2124
acad,1880,male,males,30
acad,1880,male,male,145
acad,1880,male,fella,0
acad,1880,male,lads,11
acad,1880,male,gent,2
acad,1880,male,boys,234
acad,1880,male,lad,36
acad,1880,male,gents,0
acad,1880,male,kings,148
acad,1880,male,he,21303
acad,1880,male,boy,515
acad,1880,male,gentleman,173
acad,1880,male,him,6997
acad,1880,male,fellas,0
acad,1880,male,mister,7
acad,1880,male,guy,4
acad,1880,male,sir,621
acad,1880,male,manly,34
acad,1880,male,bloke,0
acad,1880,male,masculinity,0
acad,1880,male,gentlemen,233
acad,1880,male,his,19662
acad,1880,male,princes,73
acad,1880,male,sirs,21
acad,1880,male,king,1360
acad,1880,female,gals,1
acad,1880,female,madam,6
acad,1880,female,ms,43
acad,1880,female,hers,27
acad,1880,female,maiden,78
acad,1880,female,herself,236
acad,1880,female,females,44
acad,1880,female,she,3588
acad,1880,female,dames,10
acad,1880,female,princesses,15
acad,1880,female,woman,677
acad,1880,female,gentlewomen,2
acad,1880,female,girls,237
acad,1880,female,missus,0
acad,1880,female,femininity,0
acad,1880,female,dame,32
acad,1880,female,gal,3
acad,1880,female,queen,226
acad,1880,female,queens,8
acad,1880,female,miss,202
acad,1880,female,lady,302
acad,1880,female,female,216
acad,1880,female,bride,70
acad,1880,female,brides,10
acad,1880,female,lass,4
acad,1880,female,girl,293
acad,1880,female,mrs,428
acad,1880,female,gentlewoman,7
acad,1880,female,lassie,0
acad,1880,female,feminine,25
acad,1880,female,women,621
acad,1880,female,ladies,141
acad,1880,female,maidens,64
acad,1880,female,her,4921
acad,1880,female,princess,86
acad,1890,male,blokes,0
acad,1890,male,himself,1934
acad,1890,male,masculine,52
acad,1890,male,man,4285
acad,1890,male,guys,0
acad,1890,male,men,3708
acad,1890,male,prince,599
acad,1890,male,mr,2446
acad,1890,male,males,29
acad,1890,male,male,169
acad,1890,male,fella,0
acad,1890,male,lads,15
acad,1890,male,gent,5
acad,1890,male,boys,220
acad,1890,male,lad,110
acad,1890,male,gents,5
acad,1890,male,kings,168
acad,1890,male,he,22311
acad,1890,male,boy,448
acad,1890,male,gentleman,212
acad,1890,male,him,7763
acad,1890,male,fellas,0
acad,1890,male,mister,4
acad,1890,male,guy,7
acad,1890,male,sir,649
acad,1890,male,manly,31
