"decade","word","gender","count"
1850,"ladies","female",1717
1850,"lads","male",116
1850,"lady","female",4987
1850,"lass","female",14
1850,"lassie","female",9
1850,"madam","female",804
1850,"maiden","female",665
1850,"maidens","female",139
1850,"male","male",246
1850,"males","male",54
1850,"man","male",24454
1850,"manly","male",549
1850,"masculine","male",109
1850,"masculinity","male",0
1850,"men","male",14850
1850,"miss","female",5116
1850,"missus","female",38
1850,"mister","male",45
1850,"mr","male",22364
1850,"mrs","female",8686
1850,"ms","female",34
1850,"prince","male",912
1850,"princes","male",276
1850,"princess","female",247
1850,"princesses","female",16
1850,"queen","female",1620
1850,"queens","female",221
1850,"she","female",58699
1850,"sir","male",7065
1850,"sirs","male",17
1850,"woman","female",5508
1850,"women","female",2137
1860,"bloke","male",0
1860,"blokes","male",0
1860,"boy","male",4289
1860,"boys","male",2935
1860,"bride","female",534
1860,"brides","female",20
1860,"dame","female",340
1860,"dames","female",42
1860,"fella","male",1
1860,"fellas","male",0
1860,"female","female",732
1860,"females","female",148
1860,"feminine","female",276
1860,"femininity","female",3
1860,"gal","female",573
1860,"gals","female",47
1860,"gent","male",46
1860,"gentleman","male",2743
1860,"gentlemen","male",1771
1860,"gentlewoman","female",10
1860,"gentlewomen","female",4
1860,"gents","male",12
1860,"girl","female",3965
1860,"girls","female",1542
1860,"guy","male",729
1860,"guys","male",7
1860,"he","male",147194
1860,"her","female",91590
1860,"hers","female",764
1860,"herself","female",4859
1860,"him","male",55825
1860,"himself","male",12051
1860,"his","male",139038
1860,"king","male",3719
1860,"kings","male",622
1860,"lad","male",560
1860,"ladies","female",1667
1860,"lads","male",207
1860,"lady","female",5613
1860,"lass","female",58
1860,"lassie","female",25
1860,"madam","female",613
1860,"maiden","female",503
1860,"maidens","female",174
1860,"male","male",329
1860,"males","male",77
1860,"man","male",24809
1860,"manly","male",537
1860,"masculine","male",176
1860,"masculinity","male",0
1860,"men","male",17339
1860,"miss","female",6924
1860,"missus","female",95
1860,"mister","male",39
1860,"mr","male",21229
1860,"mrs","female",10116
1860,"ms","female",168
1860,"prince","male",1646
1860,"princes","male",304
1860,"princess","female",248
1860,"princesses","female",15
1860,"queen","female",1127
1860,"queens","female",51
1860,"she","female",66610
1860,"sir","male",8131
1860,"sirs","male",20
1860,"woman","female",6841
1860,"women","female",3515
1870,"bloke","male",8
1870,"blokes","male",0
1870,"boy","male",5403
1870,"boys","male",3050
1870,"bride","female",692
1870,"brides","female",45
1870,"dame","female",145
1870,"dames","female",39
1870,"fella","male",1
1870,"fellas","male",0
1870,"female","female",623
1870,"females","female",79
1870,"feminine","female",339
1870,"femininity","female",8
1870,"gal","female",200
1870,"gals","female",45
1870,"gent","male",21
1870,"gentleman","male",3026
1870,"gentlemen","male",1862
1870,"gentlewoman","female",24
1870,"gentlewomen","female",8
1870,"gents","male",18
1870,"girl","female",6189
1870,"girls","female",2510
1870,"guy","male",530
1870,"guys","male",5
1870,"he","male",173898
1870,"her","female",119132
1870,"hers","female",1114
1870,"herself","female",6648
1870,"him","male",64550
1870,"himself","male",13832
1870,"his","male",147790
1870,"king","male",4018
1870,"kings","male",535
1870,"lad","male",485
1870,"ladies","female",2322
1870,"lads","male",160
1870,"lady","female",7296
1870,"lass","female",125
1870,"lassie","female",18
1870,"madam","female",957
1870,"maiden","female",626
1870,"maidens","female",148
1870,"male","male",341
1870,"males","male",52
1870,"man","male",28249
1870,"manly","male",491
1870,"masculine","male",219
1870,"masculinity","male",3
1870,"men","male",17928
1870,"miss","female",10269
1870,"missus","female",55
1870,"mister","male",62
1870,"mr","male",28809
1870,"mrs","female",15378
1870,"ms","female",36
1870,"prince","male",1579
1870,"princes","male",213
1870,"princess","female",501
1870,"princesses","female",38
1870,"queen","female",1315
1870,"queens","female",79
1870,"she","female",92771
