men,men,man,male,males,masculine,masculinity,he,him,his,himself,mr,mister,boy,boys,guy,guys,fella,fellas,gent,gents,sir,sirs,bloke,blokes,gentleman,gentlemen,lad,lads,prince,princes,king,kings,manly
women,women,woman,female,females,feminine,femininity,she,her,hers,herself,mrs,ms,girl,girls,gal,gals,lady,ladies,dame,dames,madam,missus,maiden,maidens,gentlewoman,gentlewomen,lass,lassie,princess,princesses,queen,queens,womanly
human,human,person,people,individual,individuals,human,humans,folk,folks,someone,anyone,everyone,citizen,being,,,,,,,,,,,,,,,,,,,
nonhuman,nonhuman,animal,creature,organism,machine,robot,alien,extraterrestrial,insect,beast,plant,object,entity,bacteria,virus,beast,brute,fiend,,,,,,,,,,,,,,,
